Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf3a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf3a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf3a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-leaf3a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc1-leaf3a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-leaf3a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-leaf3a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-leaf3a,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-leaf3a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-leaf3a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc1-leaf3a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-leaf3a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-leaf3a,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-leaf3b,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-leaf3b,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf3b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-leaf3b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-leaf3b,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf3b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc1-leaf3b,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf3b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-leaf3b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc1-leaf3b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc1-leaf3b,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf3b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf3b,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-leaf3b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-leaf3b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc1-leaf3b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-leaf3b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-leaf3b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-leaf3b,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-leaf3b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-leaf3b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc1-leaf3b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-leaf3b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-leaf3b,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-spine1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-spine1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc1-spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc1-spine1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-spine1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-spine1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-spine1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-spine1,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-spine1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-spine1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc1-spine1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-spine1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-spine2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-spine2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-spine2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-spine2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-spine2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-spine2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-spine2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-spine2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc1-spine2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc1-spine2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-spine2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-spine2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-spine2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-spine2,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-spine2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-spine2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc1-spine2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-spine2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
